Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"D1","","SOD-123_Right",95.599752,-137.308514,105.000000,top
"D2","","SOD-123_Right",90.682194,-118.955925,105.000000,top
"D3","","SOD-123_Right",85.764631,-100.603334,105.000000,top
"D4","","SOD-123_Right",112.634931,-127.474295,105.000000,top
"D5","","SOD-123_Right",107.717368,-109.121704,105.000000,top
"D6","","SOD-123_Right",102.799810,-90.769116,105.000000,top
"D7","","SOD-123_Right",97.882247,-72.416526,105.000000,top
"D8","","SOD-123_Right",129.670105,-117.640073,105.000000,top
"D9","","SOD-123_Right",124.752546,-99.287487,105.000000,top
"D10","","SOD-123_Right",119.834983,-80.934894,105.000000,top
"D11","","SOD-123_Right",114.917423,-62.582301,105.000000,top
"D12","","SOD-123_Right",146.705285,-107.805853,105.000000,top
"D13","","SOD-123_Right",141.787720,-89.453261,105.000000,top
"D14","","SOD-123_Right",136.870158,-71.100671,105.000000,top
"D15","","SOD-123_Right",131.952596,-52.748083,105.000000,top
"D16","","SOD-123_Right",166.375291,-107.804948,105.000000,top
"D17","","SOD-123_Right",161.457724,-89.452358,105.000000,top
"D18","","SOD-123_Right",156.540166,-71.099767,105.000000,top
"D19","","SOD-123_Right",151.622603,-52.747176,105.000000,top
"D20","","SOD-123_Right",186.045295,-107.804048,105.000000,top
"D21","","SOD-123_Right",181.127733,-89.451455,105.000000,top
"D22","","SOD-123_Right",176.210168,-71.098867,105.000000,top
"D23","","SOD-123_Right",171.292608,-52.746277,105.000000,top
"D24","","SOD-123_Right",179.651652,-135.228651,90.000000,top
"D25","","SOD-123_Right",198.651651,-135.228654,90.000000,top
"D26","","SOD-123_Right",217.651649,-135.228650,90.000000,top
